Sat 15 Nov 2025 22:55:29 IST

SLURM_JOBID:		 8184816
SLURM_JOB_NODELIST:	 cs-3090-01 

configuration parmas running: problem_type=gymnax es_algorithms=PGPE
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/PGPE/0]
Generation 410 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.65 | Mean fitness (Test): 0.00
Generation 420 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.12 | Mean fitness (Test): 0.00
Generation 430 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 2.19 | Mean fitness (Test): 3.00
Generation 440 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.36 | Mean fitness (Test): 0.00
Generation 450 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.56 | Mean fitness (Test): 0.00
Generation 460 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.10 | Mean fitness (Test): 0.00
Generation 470 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.28 | Mean fitness (Test): 0.00
Generation 480 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.25 | Mean fitness (Test): 1.00
Generation 490 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.24 | Mean fitness (Test): 0.00
Generation 500 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.17 | Mean fitness (Test): 0.00
Generation 510 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.82 | Mean fitness (Test): 0.00
Generation 520 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.23 | Mean fitness (Test): 0.00
Generation 530 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.12 | Mean fitness (Test): 5.00
Generation 540 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.10 | Mean fitness (Test): 0.00
Generation 550 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.68 | Mean fitness (Test): 1.00
Generation 560 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.24 | Mean fitness (Test): 0.00
Generation 570 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.07 | Mean fitness (Test): 0.00
Generation 580 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.79 | Mean fitness (Test): 1.00
Generation 590 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.98 | Mean fitness (Test): 1.00
Generation 600 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.02 | Mean fitness (Test): 0.00
Generation 610 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.35 | Mean fitness (Test): 0.00
Generation 620 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.14 | Mean fitness (Test): 1.00
Generation 630 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 2.50 | Mean fitness (Test): 4.00
Generation 640 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.01 | Mean fitness (Test): 0.00
Generation 650 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.30 | Mean fitness (Test): 0.00
Generation 660 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.43 | Mean fitness (Test): 0.00
Generation 670 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.20 | Mean fitness (Test): 0.00
Generation 680 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.76 | Mean fitness (Test): 1.00
Generation 690 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.02 | Mean fitness (Test): 0.00
Generation 700 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.19 | Mean fitness (Test): 0.00
Generation 710 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 1.10 | Mean fitness (Test): 1.00
Generation 720 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.30 | Mean fitness (Test): 0.00
Generation 730 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 740 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.90 | Mean fitness (Test): 1.00
Generation 750 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.03 | Mean fitness (Test): 1.00
Generation 760 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.12 | Mean fitness (Test): 1.00
Generation 770 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 0.82 | Mean fitness (Test): 0.00
Generation 780 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 4.46 | Mean fitness (Test): 6.00
Generation 790 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 2.43 | Mean fitness (Test): 4.00
Generation 800 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.68 | Mean fitness (Test): 0.00
Generation 810 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.66 | Mean fitness (Test): 6.00
Generation 820 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 3.41 | Mean fitness (Test): 6.00
Generation 830 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.89 | Mean fitness (Test): 0.00
Generation 840 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.53 | Mean fitness (Test): 1.00
Generation 850 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.48 | Mean fitness (Test): 1.00
Generation 860 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 3.05 | Mean fitness (Test): 3.00
Generation 870 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 880 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.03 | Mean fitness (Test): 0.00
Generation 890 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 2.16 | Mean fitness (Test): 4.00
Generation 900 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.62 | Mean fitness (Test): 0.00
Generation 910 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.07 | Mean fitness (Test): 0.00
Generation 920 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.28 | Mean fitness (Test): 0.00
Generation 930 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 940 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 4.11 | Mean fitness (Test): 4.00
Generation 950 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.01 | Mean fitness (Test): 0.00
Generation 960 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.75 | Mean fitness (Test): 6.00
Generation 970 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 980 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 2.68 | Mean fitness (Test): 1.00
Generation 990 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.39 | Mean fitness (Test): 2.00
Generation 1000 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 2.10 | Mean fitness (Test): 2.00
Generation 1010 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.47 | Mean fitness (Test): 0.00
Generation 1020 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.13 | Mean fitness (Test): 0.00
Generation 1030 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.09 | Mean fitness (Test): 0.00
Generation 1040 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.13 | Mean fitness (Test): 0.00
Generation 1050 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.54 | Mean fitness (Test): 1.00
Generation 1060 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.78 | Mean fitness (Test): 2.00
Generation 1070 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.01 | Mean fitness (Test): 0.00
Generation 1080 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.62 | Mean fitness (Test): 1.00
