Tue 11 Nov 2025 15:30:37 IST

SLURM_JOBID:		 8108724
SLURM_JOB_NODELIST:	 ise-3090-04 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:31:13.407072 1263379 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 390 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1847.05 | Mean fitness (Train): 982.34 | Mean fitness (Test): 1813.19
Generation 400 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1879.95 | Mean fitness (Train): 1037.92 | Mean fitness (Test): 2040.87
Generation 410 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1832.87 | Mean fitness (Train): 1041.12 | Mean fitness (Test): 2005.76
Generation 420 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1859.46 | Mean fitness (Train): 1056.08 | Mean fitness (Test): 2076.71
Generation 430 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1870.14 | Mean fitness (Train): 1062.90 | Mean fitness (Test): 2113.51
Generation 440 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1887.95 | Mean fitness (Train): 1040.77 | Mean fitness (Test): 2040.93
Generation 450 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1847.33 | Mean fitness (Train): 1075.62 | Mean fitness (Test): 2080.48
Generation 460 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1801.26 | Mean fitness (Train): 1084.23 | Mean fitness (Test): 2030.70
Generation 470 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1747.84 | Mean fitness (Train): 1161.45 | Mean fitness (Test): 1973.71
Generation 480 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1910.87 | Mean fitness (Train): 1113.24 | Mean fitness (Test): 2104.40
Generation 490 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 2019.15 | Mean fitness (Train): 1115.07 | Mean fitness (Test): 2024.79
Generation 500 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): 1901.03 | Mean fitness (Train): 1146.36 | Mean fitness (Test): 2161.00
Generation 510 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): 1867.14 | Mean fitness (Train): 1165.41 | Mean fitness (Test): 2041.35
Generation 520 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): 1994.49 | Mean fitness (Train): 1180.07 | Mean fitness (Test): 2211.54
Generation 530 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 540 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 550 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 560 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 570 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 580 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 590 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 600 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 610 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 620 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 630 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 640 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 650 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 660 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 670 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 680 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 690 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 700 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 710 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 720 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 730 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 740 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 750 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 760 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 770 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 780 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 790 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 800 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 810 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 820 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 830 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 840 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 850 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 860 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 870 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 880 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 890 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 900 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 910 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 920 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 930 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 940 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 950 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 960 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 970 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
