Fri 17 Oct 2025 00:18:08 IDT

SLURM_JOBID:		 7494516
SLURM_JOB_NODELIST:	 cs-6000-04 

configuration parmas running: problem_type=bbob es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Successfully loaded: sphere
Loading Problems ..:   0%|                                                              | 0/24 [00:00<?, ?it/s]
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/0]
Generation 016 | Mean fitness (Test): 202.53
Generation 032 | Mean fitness (Test): 183.79
Generation 048 | Mean fitness (Test): 166.57
Generation 064 | Mean fitness (Test): 150.87
Generation 080 | Mean fitness (Test): 136.55
Generation 096 | Mean fitness (Test): 123.52
Generation 112 | Mean fitness (Test): 111.98
Generation 128 | Mean fitness (Test): 101.89
Generation 144 | Mean fitness (Test): 92.79
Generation 160 | Mean fitness (Test): 84.80
Generation 176 | Mean fitness (Test): 77.66
Generation 192 | Mean fitness (Test): 71.43
Generation 208 | Mean fitness (Test): 66.03
Generation 224 | Mean fitness (Test): 61.47
Generation 240 | Mean fitness (Test): 57.62
Generation 256 | Mean fitness (Test): 54.44
Generation 272 | Mean fitness (Test): 51.77
Generation 288 | Mean fitness (Test): 49.62
Generation 304 | Mean fitness (Test): 47.92
Generation 320 | Mean fitness (Test): 46.66
Generation 336 | Mean fitness (Test): 45.76
Generation 352 | Mean fitness (Test): 45.16
Generation 368 | Mean fitness (Test): 44.79
Generation 384 | Mean fitness (Test): 44.57
Generation 400 | Mean fitness (Test): 44.47
Generation 416 | Mean fitness (Test): 44.43
Generation 432 | Mean fitness (Test): 44.42
Generation 448 | Mean fitness (Test): 44.41
Generation 464 | Mean fitness (Test): 44.41
Generation 480 | Mean fitness (Test): 44.41
Generation 496 | Mean fitness (Test): 44.41
Generation 512 | Mean fitness (Test): 44.41
Generation 528 | Mean fitness (Test): 44.41
Generation 544 | Mean fitness (Test): 44.41
Generation 560 | Mean fitness (Test): 44.41
Generation 576 | Mean fitness (Test): 44.41
Generation 592 | Mean fitness (Test): 44.41
Generation 608 | Mean fitness (Test): 44.41
Generation 624 | Mean fitness (Test): 44.41
Generation 640 | Mean fitness (Test): 44.41
Generation 656 | Mean fitness (Test): 44.41
Generation 672 | Mean fitness (Test): 44.41
Generation 688 | Mean fitness (Test): 44.41
Generation 704 | Mean fitness (Test): 44.41
Generation 720 | Mean fitness (Test): 44.41
Generation 736 | Mean fitness (Test): 44.41
Generation 752 | Mean fitness (Test): 44.41
Generation 768 | Mean fitness (Test): 44.41
Generation 784 | Mean fitness (Test): 44.41
Generation 800 | Mean fitness (Test): 44.41
Generation 816 | Mean fitness (Test): 44.41
Generation 832 | Mean fitness (Test): 44.41
Generation 848 | Mean fitness (Test): 44.41
Generation 864 | Mean fitness (Test): 44.41
Generation 880 | Mean fitness (Test): 44.41
Generation 896 | Mean fitness (Test): 44.41
Generation 912 | Mean fitness (Test): 44.41
Generation 928 | Mean fitness (Test): 44.41
Generation 944 | Mean fitness (Test): 44.41
Generation 960 | Mean fitness (Test): 44.41
Generation 976 | Mean fitness (Test): 44.41
Generation 992 | Mean fitness (Test): 44.41
Generation 1008 | Mean fitness (Test): 44.41
Generation 1024 | Mean fitness (Test): 44.41
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/1]
Generation 016 | Mean fitness (Test): 109.09
Generation 032 | Mean fitness (Test): 97.92
Generation 048 | Mean fitness (Test): 88.47
Generation 064 | Mean fitness (Test): 80.63
Generation 080 | Mean fitness (Test): 74.20
Generation 096 | Mean fitness (Test): 68.86
Generation 112 | Mean fitness (Test): 64.10
Generation 128 | Mean fitness (Test): 60.10
Generation 144 | Mean fitness (Test): 56.79
Generation 160 | Mean fitness (Test): 54.03
Generation 176 | Mean fitness (Test): 51.75
Generation 192 | Mean fitness (Test): 49.85
Generation 208 | Mean fitness (Test): 48.32
Generation 224 | Mean fitness (Test): 47.13
Generation 240 | Mean fitness (Test): 46.23
Generation 256 | Mean fitness (Test): 45.56
Generation 272 | Mean fitness (Test): 45.08
Generation 288 | Mean fitness (Test): 44.77
Generation 304 | Mean fitness (Test): 44.58
Generation 320 | Mean fitness (Test): 44.48
Generation 336 | Mean fitness (Test): 44.44
Generation 352 | Mean fitness (Test): 44.42
Generation 368 | Mean fitness (Test): 44.42
Generation 384 | Mean fitness (Test): 44.41
Generation 400 | Mean fitness (Test): 44.41
Generation 416 | Mean fitness (Test): 44.41
Generation 432 | Mean fitness (Test): 44.41
Generation 448 | Mean fitness (Test): 44.41
Generation 464 | Mean fitness (Test): 44.41
Generation 480 | Mean fitness (Test): 44.41
Generation 496 | Mean fitness (Test): 44.41
Generation 512 | Mean fitness (Test): 44.41
Generation 528 | Mean fitness (Test): 44.41
Generation 544 | Mean fitness (Test): 44.41
Generation 560 | Mean fitness (Test): 44.41
Generation 576 | Mean fitness (Test): 44.41
Generation 592 | Mean fitness (Test): 44.41
Generation 608 | Mean fitness (Test): 44.41
Generation 624 | Mean fitness (Test): 44.41
Generation 640 | Mean fitness (Test): 44.41
Generation 656 | Mean fitness (Test): 44.41
Generation 672 | Mean fitness (Test): 44.41
Generation 688 | Mean fitness (Test): 44.41
Generation 704 | Mean fitness (Test): 44.41
Generation 720 | Mean fitness (Test): 44.41
Generation 736 | Mean fitness (Test): 44.41
Generation 752 | Mean fitness (Test): 44.41
Generation 768 | Mean fitness (Test): 44.41
Generation 784 | Mean fitness (Test): 44.41
Generation 800 | Mean fitness (Test): 44.41
Generation 816 | Mean fitness (Test): 44.41
Generation 832 | Mean fitness (Test): 44.41
Generation 848 | Mean fitness (Test): 44.41
Generation 864 | Mean fitness (Test): 44.41
Generation 880 | Mean fitness (Test): 44.41
Generation 896 | Mean fitness (Test): 44.41
Generation 912 | Mean fitness (Test): 44.41
Generation 928 | Mean fitness (Test): 44.41
Generation 944 | Mean fitness (Test): 44.41
Generation 960 | Mean fitness (Test): 44.41
Generation 976 | Mean fitness (Test): 44.41
Generation 992 | Mean fitness (Test): 44.41
Generation 1008 | Mean fitness (Test): 44.41
Generation 1024 | Mean fitness (Test): 44.41
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/2]
Generation 016 | Mean fitness (Test): 216.93
Generation 032 | Mean fitness (Test): 197.26
Generation 048 | Mean fitness (Test): 179.58
Generation 064 | Mean fitness (Test): 163.46
Generation 080 | Mean fitness (Test): 149.25
Generation 096 | Mean fitness (Test): 135.90
Generation 112 | Mean fitness (Test): 124.08
Generation 128 | Mean fitness (Test): 113.48
Generation 144 | Mean fitness (Test): 103.86
Generation 160 | Mean fitness (Test): 95.07
Generation 176 | Mean fitness (Test): 87.17
Generation 192 | Mean fitness (Test): 80.18
Generation 208 | Mean fitness (Test): 74.27
Generation 224 | Mean fitness (Test): 69.07
Generation 240 | Mean fitness (Test): 64.53
Generation 256 | Mean fitness (Test): 60.58
Generation 272 | Mean fitness (Test): 57.12
Generation 288 | Mean fitness (Test): 54.29
Generation 304 | Mean fitness (Test): 51.88
Generation 320 | Mean fitness (Test): 49.90
Generation 336 | Mean fitness (Test): 48.28
Generation 352 | Mean fitness (Test): 47.02
Generation 368 | Mean fitness (Test): 46.07
Generation 384 | Mean fitness (Test): 45.41
Generation 400 | Mean fitness (Test): 44.96
Generation 416 | Mean fitness (Test): 44.68
Generation 432 | Mean fitness (Test): 44.53
Generation 448 | Mean fitness (Test): 44.46
Generation 464 | Mean fitness (Test): 44.43
Generation 480 | Mean fitness (Test): 44.42
Generation 496 | Mean fitness (Test): 44.41
Generation 512 | Mean fitness (Test): 44.41
Generation 528 | Mean fitness (Test): 44.41
Generation 544 | Mean fitness (Test): 44.41
Generation 560 | Mean fitness (Test): 44.41
Generation 576 | Mean fitness (Test): 44.41
Generation 592 | Mean fitness (Test): 44.41
Generation 608 | Mean fitness (Test): 44.41
Generation 624 | Mean fitness (Test): 44.41
Generation 640 | Mean fitness (Test): 44.41
Generation 656 | Mean fitness (Test): 44.41
Generation 672 | Mean fitness (Test): 44.41
Generation 688 | Mean fitness (Test): 44.41
Generation 704 | Mean fitness (Test): 44.41
Generation 720 | Mean fitness (Test): 44.41
Generation 736 | Mean fitness (Test): 44.41
Generation 752 | Mean fitness (Test): 44.41
Generation 768 | Mean fitness (Test): 44.41
Generation 784 | Mean fitness (Test): 44.41
Generation 800 | Mean fitness (Test): 44.41
Generation 816 | Mean fitness (Test): 44.41
Generation 832 | Mean fitness (Test): 44.41
Generation 848 | Mean fitness (Test): 44.41
Generation 864 | Mean fitness (Test): 44.41
Generation 880 | Mean fitness (Test): 44.41
Generation 896 | Mean fitness (Test): 44.41
Generation 912 | Mean fitness (Test): 44.41
Generation 928 | Mean fitness (Test): 44.41
Generation 944 | Mean fitness (Test): 44.41
Generation 960 | Mean fitness (Test): 44.41
Generation 976 | Mean fitness (Test): 44.41
Generation 992 | Mean fitness (Test): 44.41
Generation 1008 | Mean fitness (Test): 44.41
Generation 1024 | Mean fitness (Test): 44.41
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/3]
Generation 016 | Mean fitness (Test): 196.02
Generation 032 | Mean fitness (Test): 176.85
Generation 048 | Mean fitness (Test): 159.57
Generation 064 | Mean fitness (Test): 144.48
Generation 080 | Mean fitness (Test): 131.17
Generation 096 | Mean fitness (Test): 119.32
Generation 112 | Mean fitness (Test): 108.91
Generation 128 | Mean fitness (Test): 99.73
Generation 144 | Mean fitness (Test): 91.65
Generation 160 | Mean fitness (Test): 84.46
Generation 176 | Mean fitness (Test): 78.09
Generation 192 | Mean fitness (Test): 72.54
Generation 208 | Mean fitness (Test): 67.76
Generation 224 | Mean fitness (Test): 63.59
Generation 240 | Mean fitness (Test): 60.01
Generation 256 | Mean fitness (Test): 56.97
Generation 272 | Mean fitness (Test): 54.34
Generation 288 | Mean fitness (Test): 52.04
Generation 304 | Mean fitness (Test): 50.16
Generation 320 | Mean fitness (Test): 48.62
