Sun 09 Nov 2025 00:24:21 IST

SLURM_JOBID:		 8041820
SLURM_JOB_NODELIST:	 ise-pheno-08 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.982046 2942615 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 400 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -8.58 | Mean fitness (Train): -35.19 | Mean fitness (Test): -16.82
Generation 410 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -7.81 | Mean fitness (Train): -72.04 | Mean fitness (Test): -81.71
Generation 420 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -14.91 | Mean fitness (Train): -51.13 | Mean fitness (Test): -48.60
Generation 430 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -7.19 | Mean fitness (Train): -61.69 | Mean fitness (Test): -55.35
Generation 440 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -6.63 | Mean fitness (Train): -19.07 | Mean fitness (Test): -30.94
Generation 450 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -6.30 | Mean fitness (Train): -40.23 | Mean fitness (Test): -9.18
Generation 460 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -10.58 | Mean fitness (Train): -43.17 | Mean fitness (Test): -20.78
Generation 470 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -11.96 | Mean fitness (Train): -62.65 | Mean fitness (Test): -72.78
Generation 480 | Best fitness (Train): -2.32 | Best fitness in generation (Train): -7.65 | Mean fitness (Train): -36.88 | Mean fitness (Test): -11.52
Generation 490 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -9.43 | Mean fitness (Train): -27.47 | Mean fitness (Test): -65.54
Generation 500 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.77 | Mean fitness (Train): -55.48 | Mean fitness (Test): -20.32
Generation 510 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.44 | Mean fitness (Train): -61.26 | Mean fitness (Test): -48.74
Generation 520 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -14.06 | Mean fitness (Train): -49.15 | Mean fitness (Test): -19.81
Generation 530 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.81 | Mean fitness (Train): -49.92 | Mean fitness (Test): -28.28
Generation 540 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -15.98 | Mean fitness (Train): -60.46 | Mean fitness (Test): -82.18
Generation 550 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -8.02 | Mean fitness (Train): -24.39 | Mean fitness (Test): -9.62
Generation 560 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.77 | Mean fitness (Train): -61.01 | Mean fitness (Test): -26.98
Generation 570 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.55 | Mean fitness (Train): -15.31 | Mean fitness (Test): -12.34
Generation 580 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.05 | Mean fitness (Train): -26.89 | Mean fitness (Test): -19.82
Generation 590 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.64 | Mean fitness (Train): -7.97 | Mean fitness (Test): -8.27
