Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 400 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.35 | Mean fitness (Train): -18.61 | Mean fitness (Test): -5.56
Generation 410 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.74 | Mean fitness (Train): -52.45 | Mean fitness (Test): -47.75
Generation 420 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -11.71 | Mean fitness (Train): -22.82 | Mean fitness (Test): -22.95
Generation 430 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.16 | Mean fitness (Train): -49.55 | Mean fitness (Test): -10.27
Generation 440 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.16 | Mean fitness (Train): -10.63 | Mean fitness (Test): -6.30
Generation 450 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.04 | Mean fitness (Train): -41.16 | Mean fitness (Test): -6.86
Generation 460 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -7.27 | Mean fitness (Train): -22.00 | Mean fitness (Test): -13.32
Generation 470 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.00 | Mean fitness (Train): -13.46 | Mean fitness (Test): -5.60
Generation 480 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.03 | Mean fitness (Train): -12.48 | Mean fitness (Test): -10.63
Generation 490 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.55 | Mean fitness (Train): -12.17 | Mean fitness (Test): -13.82
Generation 500 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -3.30 | Mean fitness (Train): -14.69 | Mean fitness (Test): -6.37
Generation 510 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.85 | Mean fitness (Train): -44.13 | Mean fitness (Test): -62.25
Generation 520 | Best fitness (Train): 6.58 | Best fitness in generation (Train): 6.58 | Mean fitness (Train): -18.85 | Mean fitness (Test): -6.38
Generation 530 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.38 | Mean fitness (Train): -10.34 | Mean fitness (Test): -8.87
Generation 540 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.32 | Mean fitness (Train): -43.40 | Mean fitness (Test): -42.34
Generation 550 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.38 | Mean fitness (Train): -12.48 | Mean fitness (Test): -7.55
Generation 560 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.28 | Mean fitness (Train): -10.46 | Mean fitness (Test): -6.20
Generation 570 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.40 | Mean fitness (Train): -12.06 | Mean fitness (Test): -9.30
Generation 580 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.80 | Mean fitness (Train): -14.46 | Mean fitness (Test): -18.96
Generation 590 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.87 | Mean fitness (Train): -9.45 | Mean fitness (Test): -9.59
Generation 600 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -14.50 | Mean fitness (Train): -62.12 | Mean fitness (Test): -52.99
Generation 610 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.43 | Mean fitness (Train): -22.45 | Mean fitness (Test): -8.87
Generation 620 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.43 | Mean fitness (Train): -12.83 | Mean fitness (Test): -5.06
Generation 630 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.69 | Mean fitness (Train): -13.17 | Mean fitness (Test): -5.75
Generation 640 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.14 | Mean fitness (Train): -28.17 | Mean fitness (Test): -6.50
Generation 650 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.62 | Mean fitness (Train): -13.27 | Mean fitness (Test): -6.96
