Wed 22 Oct 2025 06:23:52 IDT

SLURM_JOBID:		 7713845
SLURM_JOB_NODELIST:	 cs-pheno-13 

configuration parmas running: problem_type=vision es_algorithms=DES
Successfully loaded: MNIST
Loading Problems ..:   0%|                                                   | 0/4 [00:00<?, ?it/s]
running the experiment ... [../../results/TorchVisionProblem/MNIST/DiscoveredES/0]
Generation 208 | Mean fitness (Test): 2.50 | Mean Accuracy (Test): 0.13
Generation 224 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.09
Generation 240 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.14
Generation 256 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 272 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 288 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.15
Generation 304 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 320 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 336 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 352 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 368 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 384 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 400 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.07
Generation 416 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 432 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.20
Generation 448 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 464 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.08
Generation 480 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 496 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 512 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 528 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 544 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 560 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 576 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.09
Generation 592 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.12
Generation 608 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 624 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.10
Generation 640 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 656 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 672 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
Generation 688 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 704 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 720 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 736 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 752 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 768 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 784 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.09
Generation 800 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 816 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 832 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.17
Generation 848 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 864 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 880 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
Generation 896 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 912 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.08
Generation 928 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 944 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 960 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.14
Generation 976 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 992 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.15
running the experiment ... [../../results/TorchVisionProblem/MNIST/DiscoveredES/2]
Generation 016 | Mean fitness (Test): 62.42 | Mean Accuracy (Test): 0.20
Generation 032 | Mean fitness (Test): 61.36 | Mean Accuracy (Test): 0.30
Generation 048 | Mean fitness (Test): 62.81 | Mean Accuracy (Test): 0.16
Generation 064 | Mean fitness (Test): 52.85 | Mean Accuracy (Test): 0.17
Generation 080 | Mean fitness (Test): 35.07 | Mean Accuracy (Test): 0.14
Running ES algorithms:   0%|                                                 | 0/1 [00:00<?, ?it/s][Aslurmstepd: error: Detected 1 oom_kill event in StepId=7713845.0. Some of the step tasks have been OOM Killed.
srun: error: cs-pheno-13: task 0: Out Of Memory
