Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041817
SLURM_JOB_NODELIST:	 cs-pheno-03 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:39.103892 1693476 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 400 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.11 | Mean fitness (Train): -49.91 | Mean fitness (Test): -19.40
Generation 410 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.58 | Mean fitness (Train): -53.41 | Mean fitness (Test): -13.92
Generation 420 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.32 | Mean fitness (Train): -39.85 | Mean fitness (Test): -14.44
Generation 430 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -9.98 | Mean fitness (Train): -59.79 | Mean fitness (Test): -28.82
Generation 440 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.54 | Mean fitness (Train): -43.95 | Mean fitness (Test): -42.29
Generation 450 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.18 | Mean fitness (Train): -57.61 | Mean fitness (Test): -17.38
Generation 460 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.12 | Mean fitness (Train): -53.68 | Mean fitness (Test): -92.38
Generation 470 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.70 | Mean fitness (Train): -46.64 | Mean fitness (Test): -6.51
Generation 480 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.88 | Mean fitness (Train): -39.58 | Mean fitness (Test): -3.79
Generation 490 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.43 | Mean fitness (Train): -46.99 | Mean fitness (Test): -9.88
Generation 500 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.18 | Mean fitness (Train): -47.30 | Mean fitness (Test): -46.75
Generation 510 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -10.30 | Mean fitness (Train): -57.99 | Mean fitness (Test): -109.65
Generation 520 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.37 | Mean fitness (Train): -52.99 | Mean fitness (Test): -87.15
Generation 530 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.50 | Mean fitness (Train): -37.75 | Mean fitness (Test): -4.43
Generation 540 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.94 | Mean fitness (Train): -58.67 | Mean fitness (Test): -5.72
Generation 550 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -3.91 | Mean fitness (Train): -39.18 | Mean fitness (Test): -4.52
Generation 560 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.52 | Mean fitness (Train): -46.39 | Mean fitness (Test): -43.37
Generation 570 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.75 | Mean fitness (Train): -44.39 | Mean fitness (Test): -15.66
Generation 580 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.99 | Mean fitness (Train): -45.98 | Mean fitness (Test): -14.71
Generation 590 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -1.29 | Mean fitness (Train): -39.56 | Mean fitness (Test): -6.75
Generation 600 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.73 | Mean fitness (Train): -52.61 | Mean fitness (Test): -106.91
Generation 610 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -9.97 | Mean fitness (Train): -56.59 | Mean fitness (Test): -78.18
Generation 620 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.48 | Mean fitness (Train): -50.07 | Mean fitness (Test): -10.51
Generation 630 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.56 | Mean fitness (Train): -44.90 | Mean fitness (Test): -8.63
Generation 640 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.93 | Mean fitness (Train): -40.11 | Mean fitness (Test): -7.43
Generation 650 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -7.11 | Mean fitness (Train): -41.37 | Mean fitness (Test): -58.71
Generation 660 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -6.03 | Mean fitness (Train): -45.99 | Mean fitness (Test): -42.25
Generation 670 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -6.70 | Mean fitness (Train): -48.59 | Mean fitness (Test): -9.51
Generation 680 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.64 | Mean fitness (Train): -51.45 | Mean fitness (Test): -59.23
Generation 690 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -6.42 | Mean fitness (Train): -47.58 | Mean fitness (Test): -24.03
Generation 700 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.09 | Mean fitness (Train): -40.59 | Mean fitness (Test): -10.09
Generation 710 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -7.68 | Mean fitness (Train): -50.42 | Mean fitness (Test): -7.67
Generation 720 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -6.53 | Mean fitness (Train): -47.18 | Mean fitness (Test): -71.28
Generation 730 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.85 | Mean fitness (Train): -49.73 | Mean fitness (Test): -38.72
Generation 740 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.33 | Mean fitness (Train): -48.42 | Mean fitness (Test): -36.46
Generation 750 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.27 | Mean fitness (Train): -45.59 | Mean fitness (Test): -42.56
Generation 760 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.26 | Mean fitness (Train): -42.26 | Mean fitness (Test): -101.24
Generation 770 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.53 | Mean fitness (Train): -38.74 | Mean fitness (Test): -9.23
Generation 780 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -3.65 | Mean fitness (Train): -32.04 | Mean fitness (Test): -10.04
Generation 790 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -8.72 | Mean fitness (Train): -52.11 | Mean fitness (Test): -75.40
Generation 800 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.82 | Mean fitness (Train): -56.29 | Mean fitness (Test): -23.51
Generation 810 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.09 | Mean fitness (Train): -40.36 | Mean fitness (Test): -13.34
Generation 820 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -10.08 | Mean fitness (Train): -46.93 | Mean fitness (Test): -57.71
Generation 830 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.03 | Mean fitness (Train): -37.77 | Mean fitness (Test): -6.27
Generation 840 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.11 | Mean fitness (Train): -41.01 | Mean fitness (Test): -11.87
Generation 850 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -7.51 | Mean fitness (Train): -39.21 | Mean fitness (Test): -11.65
