Sun 19 Oct 2025 14:26:25 IDT

SLURM_JOBID:		 7559342
SLURM_JOB_NODELIST:	 ee-l40s-01 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1019 14:26:38.652401 3160735 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

there is experiment results. [../../results/BraxProblem/ant/Open_ES/0]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/1]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/2]
running the experiment ... [../../results/BraxProblem/ant/Open_ES/3]
Generation 1936 | Mean fitness (Test): -5.14
Generation 1952 | Mean fitness (Test): -6.30
Generation 1968 | Mean fitness (Test): -35.93
Generation 1984 | Mean fitness (Test): -13.85
Generation 2000 | Mean fitness (Test): -6.60
running the experiment ... [../../results/BraxProblem/ant/Open_ES/4]
Generation 016 | Mean fitness (Test): -40.59
Generation 032 | Mean fitness (Test): -63.90
Generation 048 | Mean fitness (Test): -57.63
Generation 064 | Mean fitness (Test): -32.61
Generation 080 | Mean fitness (Test): -34.13
Generation 096 | Mean fitness (Test): -30.72
Generation 112 | Mean fitness (Test): -40.36
Generation 128 | Mean fitness (Test): -28.88
Generation 144 | Mean fitness (Test): -27.92
Generation 160 | Mean fitness (Test): -12.20
Generation 176 | Mean fitness (Test): -10.98
Generation 192 | Mean fitness (Test): -15.46
Generation 208 | Mean fitness (Test): -35.52
Generation 224 | Mean fitness (Test): -28.11
Generation 240 | Mean fitness (Test): -10.11
Generation 256 | Mean fitness (Test): -9.95
Generation 272 | Mean fitness (Test): -9.58
Generation 288 | Mean fitness (Test): -7.25
Generation 304 | Mean fitness (Test): -10.03
Generation 320 | Mean fitness (Test): -8.51
Generation 336 | Mean fitness (Test): -10.76
Generation 352 | Mean fitness (Test): -48.95
Generation 368 | Mean fitness (Test): -8.81
Generation 384 | Mean fitness (Test): -17.42
Generation 400 | Mean fitness (Test): -11.71
Generation 416 | Mean fitness (Test): -17.50
Generation 432 | Mean fitness (Test): -13.71
Generation 448 | Mean fitness (Test): -20.58
