Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 410 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
Generation 420 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.07 | Mean fitness (Test): 0.00
Generation 430 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.82 | Mean fitness (Test): 4.00
Generation 440 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.24 | Mean fitness (Test): 0.00
Generation 450 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.45 | Mean fitness (Test): 0.00
Generation 460 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
Generation 470 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.26 | Mean fitness (Test): 0.00
Generation 480 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.56 | Mean fitness (Test): 1.00
Generation 490 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.67 | Mean fitness (Test): 1.00
Generation 500 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.57 | Mean fitness (Test): 0.00
Generation 510 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.28 | Mean fitness (Test): 0.00
Generation 520 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.96 | Mean fitness (Test): 0.00
Generation 530 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.29 | Mean fitness (Test): 0.00
Generation 540 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.03 | Mean fitness (Test): 0.00
Generation 550 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.55 | Mean fitness (Test): 1.00
Generation 560 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.57 | Mean fitness (Test): 1.00
Generation 570 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.13 | Mean fitness (Test): 0.00
Generation 580 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.65 | Mean fitness (Test): 0.00
Generation 590 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.16 | Mean fitness (Test): 0.00
Generation 600 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.27 | Mean fitness (Test): 0.00
Generation 610 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.86 | Mean fitness (Test): 2.00
Generation 620 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.52 | Mean fitness (Test): 2.00
Generation 630 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 3.09 | Mean fitness (Test): 4.00
Generation 640 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.82 | Mean fitness (Test): 2.00
Generation 650 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.46 | Mean fitness (Test): 1.00
Generation 660 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.20 | Mean fitness (Test): 2.00
Generation 670 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.45 | Mean fitness (Test): 2.00
