Wed 22 Oct 2025 22:02:24 IDT

SLURM_JOBID:		 7735710
SLURM_JOB_NODELIST:	 cs-pheno-13 

configuration parmas running: problem_type=vision es_algorithms=SNES
Successfully loaded: MNIST
there is experiment results. [../../results/TorchVisionProblem/MNIST/SNES/0]
there is experiment results. [../../results/TorchVisionProblem/MNIST/SNES/1]
running the experiment ... [../../results/TorchVisionProblem/MNIST/SNES/2]
Generation 192 | Mean fitness (Test): 2.57 | Mean Accuracy (Test): 0.15
Generation 208 | Mean fitness (Test): 2.27 | Mean Accuracy (Test): 0.16
Generation 224 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 240 | Mean fitness (Test): 2.35 | Mean Accuracy (Test): 0.09
Generation 256 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.15
Generation 272 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 288 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.08
Generation 304 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.12
Generation 320 | Mean fitness (Test): 2.37 | Mean Accuracy (Test): 0.08
Generation 336 | Mean fitness (Test): 2.35 | Mean Accuracy (Test): 0.12
Generation 352 | Mean fitness (Test): 2.36 | Mean Accuracy (Test): 0.07
Generation 368 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 384 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 400 | Mean fitness (Test): 2.37 | Mean Accuracy (Test): 0.07
Generation 416 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 432 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 448 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
Generation 464 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 480 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.15
Generation 496 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 512 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.11
Generation 528 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 544 | Mean fitness (Test): 2.26 | Mean Accuracy (Test): 0.16
Generation 560 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.11
Generation 576 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.10
Generation 592 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 608 | Mean fitness (Test): 2.36 | Mean Accuracy (Test): 0.08
Generation 624 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 640 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.15
Generation 656 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 672 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 688 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.08
Generation 704 | Mean fitness (Test): 2.27 | Mean Accuracy (Test): 0.18
Generation 720 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 736 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 752 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 768 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.12
Generation 784 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.08
Generation 800 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 816 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.03
Generation 832 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.11
Generation 848 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.15
Generation 864 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.08
Generation 880 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 896 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 912 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.12
Generation 928 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 944 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 960 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 976 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 992 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
running the experiment ... [../../results/TorchVisionProblem/MNIST/SNES/4]
Generation 016 | Mean fitness (Test): 41.77 | Mean Accuracy (Test): 0.13
Generation 032 | Mean fitness (Test): 38.89 | Mean Accuracy (Test): 0.20
Generation 048 | Mean fitness (Test): 27.38 | Mean Accuracy (Test): 0.23
Generation 064 | Mean fitness (Test): 23.52 | Mean Accuracy (Test): 0.24
Generation 080 | Mean fitness (Test): 10.32 | Mean Accuracy (Test): 0.13
Generation 096 | Mean fitness (Test): 5.91 | Mean Accuracy (Test): 0.12
Generation 112 | Mean fitness (Test): 4.80 | Mean Accuracy (Test): 0.11
Generation 128 | Mean fitness (Test): 4.50 | Mean Accuracy (Test): 0.12
Generation 144 | Mean fitness (Test): 3.76 | Mean Accuracy (Test): 0.15
Generation 160 | Mean fitness (Test): 4.01 | Mean Accuracy (Test): 0.07
Generation 176 | Mean fitness (Test): 3.04 | Mean Accuracy (Test): 0.12
Generation 192 | Mean fitness (Test): 2.78 | Mean Accuracy (Test): 0.06
Generation 208 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.11
Generation 224 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.05
Generation 240 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 256 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 272 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.16
Generation 288 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.11
Generation 304 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 320 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.07
Generation 336 | Mean fitness (Test): 2.36 | Mean Accuracy (Test): 0.12
Generation 352 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.07
Generation 368 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
Generation 384 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.14
Generation 400 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 416 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.13
Generation 432 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 448 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
Generation 464 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.16
Generation 480 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 496 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 512 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 528 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 544 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 560 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.12
Generation 576 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.06
Generation 592 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.05
Generation 608 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 624 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 640 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.13
Generation 656 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.10
Generation 672 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 688 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.06
Generation 704 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.16
Generation 720 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
Generation 736 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 752 | Mean fitness (Test): 2.27 | Mean Accuracy (Test): 0.17
Generation 768 | Mean fitness (Test): 2.36 | Mean Accuracy (Test): 0.04
Generation 784 | Mean fitness (Test): 2.35 | Mean Accuracy (Test): 0.09
Generation 800 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 816 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
Generation 832 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 848 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
Generation 864 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 880 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.06
Generation 896 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 912 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.16
Generation 928 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.11
Generation 944 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.16
Generation 960 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 976 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.14
Generation 992 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Loading Problems ..:   0%|                                                                                              | 0/4 [00:00<?, ?it/s]Running ES algorithms:   0%|                                                                                            | 0/1 [00:00<?, ?it/s]Running ES algorithms: 100%|██████████████████████████████████████████████████████████████████████████████████| 1/1 [24:21<00:00, 1461.86s/it]Running ES algorithms: 100%|██████████████████████████████████████████████████████████████████████████████████| 1/1 [24:21<00:00, 1461.86s/it]
Successfully loaded: FashionMNIST
running the experiment ... [../../results/TorchVisionProblem/FashionMNIST/SNES/0]
Generation 016 | Mean fitness (Test): 40.82 | Mean Accuracy (Test): 0.34
