Generation 240 | Mean fitness: 0.34 | Accuracy: 0.91
Generation 245 | Mean fitness: 0.32 | Accuracy: 0.91
Generation 250 | Mean fitness: 0.36 | Accuracy: 0.91
Generation 255 | Mean fitness: 0.29 | Accuracy: 0.92
Generation 260 | Mean fitness: 0.28 | Accuracy: 0.93
Generation 265 | Mean fitness: 0.36 | Accuracy: 0.91
Generation 270 | Mean fitness: 0.34 | Accuracy: 0.92
Generation 275 | Mean fitness: 0.26 | Accuracy: 0.92
Generation 280 | Mean fitness: 0.26 | Accuracy: 0.93
Generation 285 | Mean fitness: 0.28 | Accuracy: 0.92
Generation 290 | Mean fitness: 0.32 | Accuracy: 0.91
Generation 295 | Mean fitness: 0.39 | Accuracy: 0.90
Generation 300 | Mean fitness: 0.29 | Accuracy: 0.92
Generation 305 | Mean fitness: 0.30 | Accuracy: 0.91
Generation 310 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 315 | Mean fitness: 0.33 | Accuracy: 0.92
Generation 320 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 325 | Mean fitness: 0.30 | Accuracy: 0.91
Generation 330 | Mean fitness: 0.28 | Accuracy: 0.92
Generation 335 | Mean fitness: 0.28 | Accuracy: 0.92
Generation 340 | Mean fitness: 0.32 | Accuracy: 0.91
Generation 345 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 350 | Mean fitness: 0.31 | Accuracy: 0.92
Generation 355 | Mean fitness: 0.28 | Accuracy: 0.92
Generation 360 | Mean fitness: 0.27 | Accuracy: 0.92
Generation 365 | Mean fitness: 0.28 | Accuracy: 0.93
Generation 370 | Mean fitness: 0.31 | Accuracy: 0.91
Generation 375 | Mean fitness: 0.25 | Accuracy: 0.93
Generation 380 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 385 | Mean fitness: 0.27 | Accuracy: 0.93
Generation 390 | Mean fitness: 0.23 | Accuracy: 0.92
Generation 395 | Mean fitness: 0.25 | Accuracy: 0.93
Generation 400 | Mean fitness: 0.28 | Accuracy: 0.92
Generation 405 | Mean fitness: 0.27 | Accuracy: 0.92
Generation 410 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 415 | Mean fitness: 0.25 | Accuracy: 0.93
Generation 420 | Mean fitness: 0.21 | Accuracy: 0.94
Generation 425 | Mean fitness: 0.24 | Accuracy: 0.92
Generation 430 | Mean fitness: 0.29 | Accuracy: 0.92
Generation 435 | Mean fitness: 0.25 | Accuracy: 0.92
