% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.134808253e+01 -2.778191747e+01 -2.778191747e+01 +0.0000e+00 +0.0000e+00
2 0 +2.110831357e+01 -2.802168643e+01 -2.802168643e+01 +2.5000e-04 +0.0000e+00
3 0 +2.084806614e+01 -2.828193386e+01 -2.828193386e+01 +0.0000e+00 +2.5000e-04
45 0 +2.069085421e+01 -2.843914579e+01 -2.843914579e+01 -3.5645e-05 +2.4902e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.418900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.898968867e+01 -6.290031133e+01 -6.290031133e+01 +0.0000e+00 +0.0000e+00
3 0 +7.833682434e+01 -6.355317566e+01 -6.355317566e+01 +0.0000e+00 +2.5000e-04
58 0 +7.793099547e+01 -6.395900453e+01 -6.395900453e+01 -3.8661e-05 +3.3670e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.095700000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.080087885e+01 +1.303708789e+02 +1.303708789e+02 +0.0000e+00 +0.0000e+00
2 0 +2.080084549e+01 +1.303708455e+02 +1.303708455e+02 +2.5000e-04 +0.0000e+00
5 0 +2.034675472e+01 +1.299167547e+02 +1.299167547e+02 +0.0000e+00 +5.0000e-04
50 0 +2.011683631e+01 +1.296868363e+02 +1.296868363e+02 -3.0206e-05 +6.2555e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.836000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.865725538e+02 +2.649325538e+02 +2.649325538e+02 +0.0000e+00 +0.0000e+00
4 0 +1.835773272e+02 +2.619373272e+02 +2.619373272e+02 +2.5000e-04 -2.5000e-04
49 0 +1.820398785e+02 +2.603998785e+02 +2.603998785e+02 -9.0370e-05 -2.4990e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.140900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.389801110e+01 +2.079880111e+02 +2.079880111e+02 +0.0000e+00 +0.0000e+00
3 0 +9.354032380e+01 +2.076303238e+02 +2.076303238e+02 +0.0000e+00 +2.5000e-04
6 0 +9.330162328e+01 +2.073916233e+02 +2.073916233e+02 +1.2500e-04 +6.2500e-05
50 0 +9.295525543e+01 +2.070452554e+02 +2.070452554e+02 +1.8110e-04 +2.2548e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.445900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.020023900e+01 -4.543897610e+02 -4.543897610e+02 +0.0000e+00 +0.0000e+00
2 0 +8.946581235e+01 -4.551241877e+02 -4.551241877e+02 +2.5000e-04 +0.0000e+00
6 0 +8.910803176e+01 -4.554819682e+02 -4.554819682e+02 +6.2500e-05 +6.2500e-05
75 0 +8.898514494e+01 -4.556048551e+02 -4.556048551e+02 +7.1580e-05 +1.0371e-04
