% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.767349860e+01 +1.639334986e+02 +1.639334986e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +9.760426314e+01 +1.638642631e+02 +1.638642631e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
684 0 +9.697142629e+01 +1.632314263e+02 +1.632314263e+02 +9.3787e-05 -4.1322e-05 +1.6726e-04 -1.1289e-05 +4.5957e-06 -1.3807e-04 +7.1879e-05 +9.8819e-05 -9.4427e-05 +5.1591e-05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.386200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.490805487e+01 -7.371194513e+01 -7.371194513e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 0 +6.490723810e+01 -7.371276190e+01 -7.371276190e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
67 0 +6.454607585e+01 -7.407392415e+01 -7.407392415e+01 +6.0394e-05 +1.3335e-04 -1.0409e-04 -1.4872e-05 +8.7881e-05 +3.3069e-05 +2.1669e-05 +7.5817e-05 -2.2713e-04 +1.4934e-04
370 0 +6.438676293e+01 -7.423323707e+01 -7.423323707e+01 +7.6763e-05 +1.2415e-04 -8.3529e-05 -8.4367e-07 +6.4254e-05 -5.9293e-06 +5.5375e-05 +8.5797e-05 -2.3210e-04 +1.4339e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.313900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.573299168e+01 +8.271229917e+02 +8.271229917e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +9.546715344e+01 +8.268571534e+02 +8.268571534e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
974 0 +9.506644848e+01 +8.264564485e+02 +8.264564485e+02 +1.9153e-04 +1.1043e-04 +9.4385e-05 -1.6507e-05 +2.9893e-05 -8.9154e-05 +5.0586e-05 -2.1603e-04 -3.8563e-05 +1.3419e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.526000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.544365401e+01 +1.307036540e+02 +1.307036540e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +5.533517824e+01 +1.305951782e+02 +1.305951782e+02 +0.0000e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
14 0 +5.482431081e+01 +1.300843108e+02 +1.300843108e+02 +9.0000e-05 +9.0000e-05 +9.0000e-05 +9.0000e-05 -4.8500e-04 -7.5000e-05 +9.0000e-05 +9.0000e-05 +9.0000e-05 +9.0000e-05
373 0 +5.448356685e+01 +1.297435668e+02 +1.297435668e+02 +4.2059e-05 +1.0824e-04 +5.5672e-06 -4.5470e-05 -2.4575e-04 -1.3486e-04 +9.8937e-05 +1.9858e-04 +3.1921e-06 +1.7808e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.913000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.292391165e+01 +3.793911651e+00 +3.793911651e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +5.283905964e+01 +3.709059636e+00 +3.709059636e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
19 0 +5.247115657e+01 +3.341156572e+00 +3.341156572e+00 +1.4602e-04 -1.8984e-05 +1.4602e-04 +1.4602e-04 +3.0160e-06 -2.5584e-05 -2.2464e-04 -5.9904e-05 +1.4602e-04 -1.5398e-04
645 0 +5.161483471e+01 +2.484834710e+00 +2.484834710e+00 +4.1377e-04 -1.6607e-04 +3.4794e-04 +5.2126e-04 -1.7738e-05 -4.4817e-04 -6.3504e-04 -9.8692e-05 +4.4836e-04 -5.2575e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.418900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.324801073e+02 -9.409892661e+00 -9.409892661e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
15 0 +1.323988758e+02 -9.491124183e+00 -9.491124183e+00 -4.5600e-05 +8.6400e-05 +8.6400e-05 +8.6400e-05 -2.3600e-05 -7.2000e-05 -2.1360e-04 +8.6400e-05 +8.6400e-05 +8.6400e-05
