% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.179100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.469127597e+01 -4.532187240e+02 -4.532187240e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 0 +6.461936132e+01 -4.532906387e+02 -4.532906387e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
12 0 +6.454457008e+01 -4.533654299e+02 -4.533654299e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1981 0 +6.337376872e+01 -4.545362313e+02 -4.545362313e+02 -4.5327e-04 +1.7174e-04 +2.3757e-04 +2.2052e-04 -4.7050e-04 +3.7411e-05 +1.3619e-05 +1.4998e-04 -1.5068e-04 +1.2682e-05 +8.7467e-05 +2.3991e-04 +4.7167e-04 +2.2657e-04 -5.6528e-05 -2.3408e-04 +1.1336e-04 -2.9883e-04 -1.0479e-04 +1.2959e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.721000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.082507635e+01 +2.361507635e+01 +2.361507635e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +8.075541915e+01 +2.354541915e+01 +2.354541915e+01 +0.0000e+00 +0.0000e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2215 0 +7.948806921e+01 +2.227806921e+01 +2.227806921e+01 -2.7361e-04 -5.6461e-05 +3.6631e-04 +5.4157e-06 -2.1589e-04 +9.1318e-05 +1.1592e-04 -3.9426e-05 -5.6942e-06 -8.2418e-05 +2.9328e-04 +1.7391e-04 -2.4136e-04 +2.6008e-04 -6.7520e-04 +2.3956e-04 -3.5816e-04 +2.5187e-05 +3.4117e-04 +1.1176e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.626000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.426409085e+01 +1.505240909e+02 +1.505240909e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +8.418718870e+01 +1.504471887e+02 +1.504471887e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
147 0 +8.311243740e+01 +1.493724374e+02 +1.493724374e+02 +6.4507e-05 -4.6364e-05 +2.3172e-04 -1.6868e-04 +1.1406e-04 -2.1080e-04 -2.8881e-04 -6.0642e-04 +2.8727e-04 +1.4607e-04 +1.1265e-04 +8.7776e-05 +1.0036e-04 +6.7689e-05 +1.2806e-04 -3.0754e-05 -1.3531e-04 +9.0394e-06 +2.0260e-04 +2.1589e-04
1135 0 +8.290151100e+01 +1.491615110e+02 +1.491615110e+02 +9.1674e-05 -5.1082e-05 +2.7770e-04 -2.6528e-04 +5.9854e-05 -3.0398e-04 -3.9338e-04 -5.9372e-04 +2.8757e-04 +2.3480e-04 +2.2264e-04 +4.7475e-05 +1.4948e-04 +1.2774e-04 +1.7001e-04 -6.1256e-05 -1.7922e-04 -1.6044e-05 +2.4806e-04 +2.4487e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.386200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.214025725e+02 -1.721742746e+01 -1.721742746e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +1.213368194e+02 -1.728318063e+01 -1.728318063e+01 +0.0000e+00 +0.0000e+00 +2.5000e-04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
