% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
9 0 +6.431378484e-01 +7.320331378e+02 +7.320331378e+02 +6.4815e-04 -4.6296e-04 +2.0370e-04
10 0 +6.210951762e-01 +7.320110952e+02 +7.320110952e+02 +8.8889e-04 -7.7778e-04 +2.2222e-04
14 0 +5.998974595e-01 +7.319898975e+02 +7.319898975e+02 +1.2431e-03 -1.4925e-03 +3.8409e-04
47 0 +5.872675679e-01 +7.319772676e+02 +7.319772676e+02 +1.3709e-03 -1.5908e-03 +2.2624e-04
70 0 +5.853359126e-01 +7.319753359e+02 +7.319753359e+02 +1.3628e-03 -1.5851e-03 +2.4187e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.526000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.258908636e+02 +2.011508636e+02 +2.011508636e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.250466273e+02 +2.003066273e+02 +2.003066273e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00
23 0 +1.228748393e+02 +1.981348393e+02 +1.981348393e+02 -4.6475e-06 +4.2406e-04 +1.8658e-05
142 0 +1.224650100e+02 +1.977250100e+02 +1.977250100e+02 -1.2633e-05 +4.3974e-04 +5.9529e-05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.913000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.033738246e+02 +5.424382456e+01 +5.424382456e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.032784363e+02 +5.414843626e+01 +5.414843626e+01 +2.5000e-04 +0.0000e+00 +0.0000e+00
98 0 +1.031123804e+02 +5.398238040e+01 +5.398238040e+01 +2.2401e-04 +1.2086e-05 -1.4327e-05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.418900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.158523861e+02 +2.739623861e+02 +2.739623861e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +4.150736707e+02 +2.731836707e+02 +2.731836707e+02 +0.0000e+00 +0.0000e+00 +2.5000e-04
146 0 +4.116453068e+02 +2.697553068e+02 +2.697553068e+02 -1.4370e-04 -1.3101e-04 +5.8192e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.095700000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.555607831e+02 +2.651307831e+02 +2.651307831e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.549090135e+02 +2.644790135e+02 +2.644790135e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00
3 0 +1.538996091e+02 +2.634696091e+02 +2.634696091e+02 +0.0000e+00 +2.5000e-04 +0.0000e+00
38 0 +1.513017928e+02 +2.608717928e+02 +2.608717928e+02 -4.3197e-04 +7.4368e-04 -5.8465e-05
127 0 +1.508881408e+02 +2.604581408e+02 +2.604581408e+02 -4.5299e-04 +7.4572e-04 -7.3901e-05
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.836000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.377832526e+01 +1.421383253e+02 +1.421383253e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +6.303782753e+01 +1.413978275e+02 +1.413978275e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00
90 0 +6.288627618e+01 +1.412462762e+02 +1.412462762e+02 +2.9353e-04 -9.0795e-06 +9.1666e-06
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.140900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.415793429e+02 +2.556693429e+02 +2.556693429e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.406916485e+02 +2.547816485e+02 +2.547816485e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00
94 0 +1.381453989e+02 +2.522353989e+02 +2.522353989e+02 +3.4828e-04 +2.6143e-04 -3.2495e-04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.445900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.352754301e+01 -5.310624570e+02 -5.310624570e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.344216946e+01 -5.311478305e+02 -5.311478305e+02 +2.5000e-04 +0.0000e+00 +0.0000e+00
7 0 +1.315851472e+01 -5.314314853e+02 -5.314314853e+02 +4.1667e-04 -2.5000e-04 +4.1667e-04
19 0 +1.282604303e+01 -5.317639570e+02 -5.317639570e+02 +8.8894e-04 -3.4620e-04 +3.3091e-04
107 0 +1.266465321e+01 -5.319253468e+02 -5.319253468e+02 +9.2948e-04 -4.9184e-04 +2.9821e-04
