% f evaluations | g evaluations | best noise-free fitness - Fopt (7.948000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1298 0 +2.787081144e-07 +7.948000028e+01 +7.948000028e+01 +2.5251e-01 -1.1566e+00 -7.2425e-01 +1.9265e+00 -2.6811e+00
1325 0 +1.124204232e-07 +7.948000011e+01 +7.948000011e+01 +2.5282e-01 -1.1567e+00 -7.2390e-01 +1.9265e+00 -2.6805e+00
3200 0 +1.124204232e-07 +7.948000011e+01 +7.948000011e+01 +2.5282e-01 -1.1567e+00 -7.2390e-01 +1.9265e+00 -2.6805e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.944800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.555978834e+01 +4.300397883e+02 +4.300397883e+02 -1.2111e+00 +1.3703e-02 -1.1750e-01 +1.4520e+00 +3.0648e-01
3 0 +3.492053067e+01 +4.294005307e+02 +4.294005307e+02 -3.5668e-01 -2.0640e+00 -4.1457e-01 +8.5572e-01 -9.7185e-02
8 0 +3.314028510e+01 +4.276202851e+02 +4.276202851e+02 -8.9295e-01 -1.2570e+00 -1.0216e+00 +1.2544e+00 -1.7249e+00
39 0 +2.331715107e+01 +4.177971511e+02 +4.177971511e+02 -1.4055e+00 -1.8268e+00 -1.4489e+00 +1.0571e+00 -6.6332e-01
58 0 +1.551314684e+01 +4.099931468e+02 +4.099931468e+02 -3.5346e+00 -2.4512e+00 -1.6896e+00 +7.1342e-01 +1.2851e-01
71 0 +1.317887222e+01 +4.076588722e+02 +4.076588722e+02 -3.7576e+00 -1.7387e+00 -2.6346e+00 +1.9234e+00 -1.6980e+00
90 0 +6.490521957e+00 +4.009705220e+02 +4.009705220e+02 -5.2064e+00 -1.6019e+00 -4.0449e+00 +4.4434e+00 -8.0556e-01
196 0 +3.477736041e+00 +3.979577360e+02 +3.979577360e+02 -2.9671e+00 -2.3776e+00 -4.6733e+00 +2.9529e+00 +1.6847e+00
228 0 +1.882643727e+00 +3.963626437e+02 +3.963626437e+02 -3.6251e+00 -3.1988e+00 -2.8046e+00 +3.2119e+00 +3.7339e-01
260 0 +1.424448279e+00 +3.959044483e+02 +3.959044483e+02 -3.8341e+00 -2.6718e+00 -4.1391e+00 +2.9587e+00 +1.4613e+00
292 0 +1.234463215e+00 +3.957144632e+02 +3.957144632e+02 -3.3992e+00 -2.2042e+00 -4.2749e+00 +3.3939e+00 +6.8814e-01
295 0 +1.149412266e+00 +3.956294123e+02 +3.956294123e+02 -4.2948e+00 -3.4307e+00 -4.6049e+00 +4.0568e+00 +6.7650e-01
324 0 +3.667406099e-01 +3.948467406e+02 +3.948467406e+02 -3.7023e+00 -3.2130e+00 -3.9816e+00 +3.7440e+00 +1.2666e+00
356 0 +2.824835431e-01 +3.947624835e+02 +3.947624835e+02 -3.7675e+00 -2.7175e+00 -3.8630e+00 +3.4546e+00 +6.9055e-01
388 0 +1.359100989e-01 +3.946159101e+02 +3.946159101e+02 -3.7565e+00 -2.8339e+00 -4.0321e+00 +3.9218e+00 +1.1033e+00
420 0 +8.872045207e-02 +3.945687205e+02 +3.945687205e+02 -3.7589e+00 -2.6598e+00 -3.7297e+00 +4.0092e+00 +8.6792e-01
452 0 +2.031471062e-02 +3.945003147e+02 +3.945003147e+02 -3.8171e+00 -2.8909e+00 -3.7603e+00 +3.8194e+00 +9.2634e-01
536 0 +1.464752149e-02 +3.944946475e+02 +3.944946475e+02 -3.9087e+00 -2.8579e+00 -3.7522e+00 +3.8378e+00 +9.3898e-01
548 0 +5.553583928e-03 +3.944855536e+02 +3.944855536e+02 -3.8745e+00 -2.8442e+00 -3.7574e+00 +3.9051e+00 +8.8794e-01
612 0 +3.825520339e-03 +3.944838255e+02 +3.944838255e+02 -3.8962e+00 -2.8758e+00 -3.8531e+00 +3.9377e+00 +8.5876e-01
632 0 +2.643139047e-03 +3.944826431e+02 +3.944826431e+02 -3.8673e+00 -2.8902e+00 -3.8093e+00 +3.8705e+00 +8.7914e-01
644 0 +1.869738292e-03 +3.944818697e+02 +3.944818697e+02 -3.9008e+00 -2.9009e+00 -3.8372e+00 +3.9012e+00 +8.8206e-01
664 0 +1.804252815e-03 +3.944818043e+02 +3.944818043e+02 -3.8752e+00 -2.8638e+00 -3.7856e+00 +3.8969e+00 +8.7318e-01
676 0 +1.035832161e-03 +3.944810358e+02 +3.944810358e+02 -3.8769e+00 -2.8857e+00 -3.7908e+00 +3.9240e+00 +8.5028e-01
728 0 +8.946906490e-04 +3.944808947e+02 +3.944808947e+02 -3.8994e+00 -2.8929e+00 -3.7934e+00 +3.9233e+00 +8.3703e-01
740 0 +6.949184511e-04 +3.944806949e+02 +3.944806949e+02 -3.9083e+00 -2.8803e+00 -3.8040e+00 +3.8838e+00 +8.5514e-01
760 0 +5.874983478e-04 +3.944805875e+02 +3.944805875e+02 -3.8889e+00 -2.8760e+00 -3.7875e+00 +3.9032e+00 +8.6713e-01
772 0 +2.056310261e-04 +3.944802056e+02 +3.944802056e+02 -3.8864e+00 -2.8859e+00 -3.8005e+00 +3.8994e+00 +8.5901e-01
804 0 +1.660349604e-04 +3.944801660e+02 +3.944801660e+02 -3.8993e+00 -2.8858e+00 -3.7910e+00 +3.9025e+00 +8.5710e-01
836 0 +1.119019075e-04 +3.944801119e+02 +3.944801119e+02 -3.8950e+00 -2.8904e+00 -3.7974e+00 +3.9102e+00 +8.6652e-01
856 0 +8.064685255e-05 +3.944800806e+02 +3.944800806e+02 -3.8962e+00 -2.8890e+00 -3.8108e+00 +3.9064e+00 +8.6089e-01
888 0 +7.124599676e-05 +3.944800712e+02 +3.944800712e+02 -3.8909e+00 -2.8911e+00 -3.8039e+00 +3.9029e+00 +8.5689e-01
900 0 +4.621945180e-05 +3.944800462e+02 +3.944800462e+02 -3.8965e+00 -2.8876e+00 -3.8052e+00 +3.9108e+00 +8.5926e-01
903 0 +4.200129490e-05 +3.944800420e+02 +3.944800420e+02 -3.9019e+00 -2.8905e+00 -3.7977e+00 +3.9069e+00 +8.5685e-01
920 0 +1.857646805e-05 +3.944800186e+02 +3.944800186e+02 -3.8964e+00 -2.8904e+00 -3.8040e+00 +3.9027e+00 +8.6119e-01
964 0 +9.358601574e-06 +3.944800094e+02 +3.944800094e+02 -3.8993e+00 -2.8901e+00 -3.7998e+00 +3.9057e+00 +8.5799e-01
996 0 +7.501586367e-06 +3.944800075e+02 +3.944800075e+02 -3.8969e+00 -2.8913e+00 -3.8031e+00 +3.9063e+00 +8.6108e-01
1028 0 +4.195026747e-06 +3.944800042e+02 +3.944800042e+02 -3.8979e+00 -2.8898e+00 -3.8023e+00 +3.9040e+00 +8.5821e-01
